city,pollutant,financial_year,status,rows,file
Delhi,PM2.5,FY2024-25,downloaded,251369,C:\Users\ironm\Desktop\envirocatalysts-air-quality\data\raw\parts\Delhi__PM2_5__FY2024-25.csv
Delhi,PM10,FY2024-25,downloaded,254835,C:\Users\ironm\Desktop\envirocatalysts-air-quality\data\raw\parts\Delhi__PM10__FY2024-25.csv
Delhi,NO2,FY2024-25,downloaded,256833,C:\Users\ironm\Desktop\envirocatalysts-air-quality\data\raw\parts\Delhi__NO2__FY2024-25.csv
Delhi,SO2,FY2024-25,downloaded,211831,C:\Users\ironm\Desktop\envirocatalysts-air-quality\data\raw\parts\Delhi__SO2__FY2024-25.csv
Delhi,CO,FY2024-25,downloaded,254012,C:\Users\ironm\Desktop\envirocatalysts-air-quality\data\raw\parts\Delhi__CO__FY2024-25.csv
Delhi,Ozone,FY2024-25,downloaded,250440,C:\Users\ironm\Desktop\envirocatalysts-air-quality\data\raw\parts\Delhi__Ozone__FY2024-25.csv
Mumbai,PM2.5,FY2024-25,downloaded,174817,C:\Users\ironm\Desktop\envirocatalysts-air-quality\data\raw\parts\Mumbai__PM2_5__FY2024-25.csv
Mumbai,PM10,FY2024-25,downloaded,165819,C:\Users\ironm\Desktop\envirocatalysts-air-quality\data\raw\parts\Mumbai__PM10__FY2024-25.csv
Mumbai,NO2,FY2024-25,downloaded,172671,C:\Users\ironm\Desktop\envirocatalysts-air-quality\data\raw\parts\Mumbai__NO2__FY2024-25.csv
Mumbai,SO2,FY2024-25,downloaded,158740,C:\Users\ironm\Desktop\envirocatalysts-air-quality\data\raw\parts\Mumbai__SO2__FY2024-25.csv
Mumbai,CO,FY2024-25,downloaded,168826,C:\Users\ironm\Desktop\envirocatalysts-air-quality\data\raw\parts\Mumbai__CO__FY2024-25.csv
Mumbai,Ozone,FY2024-25,downloaded,171242,C:\Users\ironm\Desktop\envirocatalysts-air-quality\data\raw\parts\Mumbai__Ozone__FY2024-25.csv
Kolkata,PM2.5,FY2024-25,downloaded,52803,C:\Users\ironm\Desktop\envirocatalysts-air-quality\data\raw\parts\Kolkata__PM2_5__FY2024-25.csv
Kolkata,PM10,FY2024-25,downloaded,45085,C:\Users\ironm\Desktop\envirocatalysts-air-quality\data\raw\parts\Kolkata__PM10__FY2024-25.csv
Kolkata,NO2,FY2024-25,downloaded,45110,C:\Users\ironm\Desktop\envirocatalysts-air-quality\data\raw\parts\Kolkata__NO2__FY2024-25.csv
Kolkata,SO2,FY2024-25,downloaded,45527,C:\Users\ironm\Desktop\envirocatalysts-air-quality\data\raw\parts\Kolkata__SO2__FY2024-25.csv
Kolkata,CO,FY2024-25,downloaded,45311,C:\Users\ironm\Desktop\envirocatalysts-air-quality\data\raw\parts\Kolkata__CO__FY2024-25.csv
Kolkata,Ozone,FY2024-25,downloaded,45437,C:\Users\ironm\Desktop\envirocatalysts-air-quality\data\raw\parts\Kolkata__Ozone__FY2024-25.csv
Chennai,PM2.5,FY2024-25,downloaded,46045,C:\Users\ironm\Desktop\envirocatalysts-air-quality\data\raw\parts\Chennai__PM2_5__FY2024-25.csv
Chennai,PM10,FY2024-25,downloaded,39552,C:\Users\ironm\Desktop\envirocatalysts-air-quality\data\raw\parts\Chennai__PM10__FY2024-25.csv
Chennai,NO2,FY2024-25,downloaded,36263,C:\Users\ironm\Desktop\envirocatalysts-air-quality\data\raw\parts\Chennai__NO2__FY2024-25.csv
Chennai,SO2,FY2024-25,downloaded,40266,C:\Users\ironm\Desktop\envirocatalysts-air-quality\data\raw\parts\Chennai__SO2__FY2024-25.csv
Chennai,CO,FY2024-25,downloaded,34162,C:\Users\ironm\Desktop\envirocatalysts-air-quality\data\raw\parts\Chennai__CO__FY2024-25.csv
Chennai,Ozone,FY2024-25,downloaded,33819,C:\Users\ironm\Desktop\envirocatalysts-air-quality\data\raw\parts\Chennai__Ozone__FY2024-25.csv
Bengaluru,PM2.5,FY2024-25,downloaded,64587,C:\Users\ironm\Desktop\envirocatalysts-air-quality\data\raw\parts\Bengaluru__PM2_5__FY2024-25.csv
Bengaluru,PM10,FY2024-25,downloaded,74341,C:\Users\ironm\Desktop\envirocatalysts-air-quality\data\raw\parts\Bengaluru__PM10__FY2024-25.csv
Bengaluru,NO2,FY2024-25,downloaded,74233,C:\Users\ironm\Desktop\envirocatalysts-air-quality\data\raw\parts\Bengaluru__NO2__FY2024-25.csv
Bengaluru,SO2,FY2024-25,downloaded,76638,C:\Users\ironm\Desktop\envirocatalysts-air-quality\data\raw\parts\Bengaluru__SO2__FY2024-25.csv
Bengaluru,CO,FY2024-25,downloaded,74878,C:\Users\ironm\Desktop\envirocatalysts-air-quality\data\raw\parts\Bengaluru__CO__FY2024-25.csv
Bengaluru,Ozone,FY2024-25,downloaded,62591,C:\Users\ironm\Desktop\envirocatalysts-air-quality\data\raw\parts\Bengaluru__Ozone__FY2024-25.csv
Hyderabad,PM2.5,FY2024-25,downloaded,81507,C:\Users\ironm\Desktop\envirocatalysts-air-quality\data\raw\parts\Hyderabad__PM2_5__FY2024-25.csv
Hyderabad,PM10,FY2024-25,downloaded,67445,C:\Users\ironm\Desktop\envirocatalysts-air-quality\data\raw\parts\Hyderabad__PM10__FY2024-25.csv
Hyderabad,NO2,FY2024-25,downloaded,76127,C:\Users\ironm\Desktop\envirocatalysts-air-quality\data\raw\parts\Hyderabad__NO2__FY2024-25.csv
Hyderabad,SO2,FY2024-25,downloaded,74918,C:\Users\ironm\Desktop\envirocatalysts-air-quality\data\raw\parts\Hyderabad__SO2__FY2024-25.csv
